Row,Median
EX_co,-20.042
EX_h2,-33.042
EX_co2,4.3319759265736195
ACK,6.8923114089619855
ENO,-0.1507676810715129
EX_H+,5.95627853474385
FRUK,-0.02751022929899616
EX_pi,-0.04771412888897375
GLNS,0.0002051039567266882
FBA,-0.05609137991486085
HSDH,-0.0028507495861131577
MTHFR,7.131046677859208
ACLDC,0.07898909175655894
ASPTA,0.00019941427589276195
FTHFL,7.130423351024758
FRUpts,-0.000619225470707363
ACALDx,-0.005857844610720645
ACALDy,0.0
MTHFC,-7.1312757554742445
GLUD,0.0
PIt,0.049179359552375734
EX_nh3,-0.004507328953151202
BTDDx,-6.1692837247145285
BTDDy,6.122286126113458
GAPDH,-0.112497701300042
ATPase,10.46315149057581
MTHFD,-7.131169220694488
FUM,0.0
PFOR,-0.326878872610179
ALCDx,2.300174678534166
ALCDy,-0.3306610176851743
ASPT,-0.0032843839400108904
FBP,0.024985199162299493
ASPK,0.00308691674557926
LACt,-0.000504454334336657
EX_lac,0.0
LDH,-0.0010959320131219696
PGM,0.14398861111172248
PTA,6.891074736618147
ASAD,0.0033911080463597254
PPCK,0.14889580450764
PGK,-0.11135699933437992
TPI,0.0576891665041399
PPA,0.009715320559272378
ATPM,9.563606291328409
EX_h2o,-3.3416456756681967
MDH,-0.0006633263229532116
PC,0.1724958806282955
CODH,12.7330436427252
FDH,-1.520152137715293
CODH__ACS,7.125831544651792
METR,7.125984731643521
HCO3E,-0.17774723649846774
EX_etoh,1.7640877246031916
EX_thf,2.504925063437582e-06
RNF,21.0024355045828
ACt,-4.553630605082532
EX_ac,4.553685204761716
ACLS,0.08080696449660499
HYDFDNy,8.267372170307166e-15
HYDFDNx,1.2255094811565352
EX_bdoh,0.07924994454000783
FRNDPR,-0.5503488102335075
EX_biomass,0.007872875679365565
FHL,11.445245551800669
ACAFDOR,1.7702231095022194
FRUpts2,0.0
FORt,-1.0249586345295434
EX_for,1.0248909776642323
BIOMASS,0.002177663497813878
